date,item_id,price,item_count
01-01-2019,3,29.22,2
01-01-2019,4,26.42,22
01-01-2019,12,4.87,7
01-01-2019,13,4.18,12
01-01-2019,16,3.21,136
01-01-2019,19,2.89,108
01-01-2019,21,23.23,13
01-01-2019,23,10.86,10
01-01-2019,27,26.21,1
01-01-2019,35,4.36,1
01-01-2019,42,2.91,1
01-01-2019,45,23.43,4
01-01-2019,56,28.75,18
01-01-2019,59,23.37,30
01-01-2019,67,7,23
01-01-2019,73,5.16,2
01-01-2019,75,5.6,1
01-01-2019,76,17.93,32
01-01-2019,90,7.71,2
01-01-2019,91,15.46,1
01-01-2019,93,12.44,1
01-01-2019,1,6.71,0
01-01-2019,2,15.09,0
01-01-2019,5,6.07,0
01-01-2019,6,5.61,0
01-01-2019,7,8.1,0
01-01-2019,8,24.98,0
01-01-2019,9,3.91,0
01-01-2019,10,21.13,0
01-01-2019,11,19.48,0
01-01-2019,14,3.9,0
01-01-2019,15,18.78,0
01-01-2019,17,6.21,0
01-01-2019,18,18.82,0
01-01-2019,20,7.95,0
01-01-2019,22,19.05,0
01-01-2019,24,7.91,0
01-01-2019,25,6.23,0
01-01-2019,26,7.55,0
01-01-2019,28,15.23,0
01-01-2019,29,2.43,0
01-01-2019,30,5.08,0
01-01-2019,31,5.62,0
01-01-2019,32,3.86,0
01-01-2019,33,20.8,0
01-01-2019,34,27.47,0
01-01-2019,36,21.14,0
01-01-2019,37,7.36,0
01-01-2019,38,10.8,0
01-01-2019,39,19.03,0
01-01-2019,40,22.67,0
01-01-2019,41,6.01,0
01-01-2019,43,7.13,0
01-01-2019,44,5.5,0
01-01-2019,46,6.89,0
01-01-2019,47,8.01,0
01-01-2019,48,11.82,0
01-01-2019,49,1.39,0
01-01-2019,50,26.37,0
01-01-2019,51,17.55,0
01-01-2019,52,5.68,0
01-01-2019,53,7.87,0
01-01-2019,54,6.51,0
01-01-2019,55,6.63,0
01-01-2019,57,3.93,0
01-01-2019,58,13.66,0
01-01-2019,60,15.69,0
01-01-2019,61,18.53,0
01-01-2019,62,5.7,0
01-01-2019,63,3.74,0
01-01-2019,64,16.09,0
01-01-2019,65,20.02,0
01-01-2019,66,6.31,0
01-01-2019,68,8.7,0
01-01-2019,69,26.04,0
01-01-2019,70,16.28,0
01-01-2019,71,3.98,0
01-01-2019,72,6.53,0
01-01-2019,74,4.11,0
01-01-2019,77,7.7,0
01-01-2019,78,2.99,0
01-01-2019,79,3.75,0
01-01-2019,80,53.98,0
01-01-2019,81,5.11,0
01-01-2019,82,5.45,0
01-01-2019,83,8.55,0
01-01-2019,84,19.77,0
01-01-2019,85,4.02,0
01-01-2019,86,6.5,0
01-01-2019,87,7.22,0
01-01-2019,88,16.06,0
01-01-2019,89,3.06,0
01-01-2019,92,3.23,0
01-01-2019,94,5.71,0
01-01-2019,95,19.04,0
01-01-2019,96,21.93,0
01-01-2019,97,28.65,0
01-01-2019,98,5,0
01-01-2019,99,5.32,0
01-01-2019,100,2.48,0
02-01-2019,4,26.42,26
02-01-2019,12,4.87,5
02-01-2019,13,4.18,8
02-01-2019,16,3.21,110
02-01-2019,19,2.89,94
02-01-2019,21,23.23,4
02-01-2019,23,10.86,4
02-01-2019,42,2.91,1
02-01-2019,45,23.43,1
02-01-2019,49,1.39,1
02-01-2019,56,28.75,12
02-01-2019,59,23.37,21
02-01-2019,67,7,19
02-01-2019,73,5.16,1
02-01-2019,76,17.93,24
02-01-2019,80,53.98,2
02-01-2019,89,3.06,1
02-01-2019,90,7.71,1
02-01-2019,93,12.44,1
02-01-2019,94,5.71,1
02-01-2019,1,6.71,0
02-01-2019,2,15.09,0
02-01-2019,3,29.22,0
02-01-2019,5,6.07,0
02-01-2019,6,5.61,0
02-01-2019,7,8.1,0
02-01-2019,8,24.98,0
02-01-2019,9,3.91,0
02-01-2019,10,21.13,0
02-01-2019,11,19.48,0
02-01-2019,14,3.9,0
02-01-2019,15,18.78,0
02-01-2019,17,6.21,0
02-01-2019,18,18.82,0
02-01-2019,20,7.95,0
02-01-2019,22,19.05,0
02-01-2019,24,7.91,0
02-01-2019,25,6.23,0
02-01-2019,26,7.55,0
02-01-2019,27,26.21,0
02-01-2019,28,15.23,0
02-01-2019,29,2.43,0
02-01-2019,30,5.08,0
02-01-2019,31,5.62,0
02-01-2019,32,3.86,0
02-01-2019,33,20.8,0
02-01-2019,34,27.47,0
02-01-2019,35,4.36,0
02-01-2019,36,21.14,0
02-01-2019,37,7.36,0
02-01-2019,38,10.8,0
02-01-2019,39,19.03,0
02-01-2019,40,22.67,0
02-01-2019,41,6.01,0
02-01-2019,43,7.13,0
02-01-2019,44,5.5,0
02-01-2019,46,6.89,0
02-01-2019,47,8.01,0
02-01-2019,48,11.82,0
02-01-2019,50,26.37,0
